cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV
1308,0.016476054,1308,0.114469998,1308,0.135319188,1308,0.144733623,1308,0.020456504
1306,0.017040798,1306,0.117298216,1306,0.138318643,1306,0.150064915,1306,0.020729544
1304,0.017198838,1304,0.121158049,1304,0.141656905,1304,0.152868748,1304,0.021395752
1302,0.017248981,1302,0.122630432,1302,0.143552274,1302,0.15489006,1302,0.021931766
1300,0.016847925,1300,0.119885437,1300,0.141496018,1300,0.152134731,1300,0.021379666
1298,0.017714707,1298,0.124562055,1298,0.147143036,1298,0.157774776,1298,0.022266576
1296,0.018096263,1296,0.128343195,1296,0.152628064,1296,0.164686427,1296,0.022736171
1294,0.017720537,1294,0.127403408,1294,0.151204512,1294,0.162150308,1294,0.022537228
1292,0.017289512,1292,0.125560731,1292,0.149681762,1292,0.159582689,1292,0.022039365
1290,0.017697772,1290,0.128800243,1290,0.151918367,1290,0.161940873,1290,0.021876534
1288,0.017735425,1288,0.127785102,1288,0.153159276,1288,0.164224759,1288,0.02210908
1286,0.017578585,1286,0.129855439,1286,0.154947951,1286,0.164499581,1286,0.021697488
1284,0.017526569,1284,0.12873812,1284,0.155700341,1284,0.164057687,1284,0.02145184
1282,0.017341748,1282,0.129050314,1282,0.153557464,1282,0.162722141,1282,0.0216967
1280,0.017978914,1280,0.134330228,1280,0.160844192,1280,0.168405607,1280,0.021889523
1278,0.018539889,1278,0.138234913,1278,0.167715713,1278,0.176370636,1278,0.022585146
1276,0.018554531,1276,0.142796636,1276,0.172436848,1276,0.179684326,1276,0.02301172
1274,0.018401152,1274,0.139614061,1274,0.174681544,1274,0.177554116,1274,0.02322904
1272,0.019402022,1272,0.146998733,1272,0.183476552,1272,0.186623827,1272,0.023566106
1270,0.020399593,1270,0.151480123,1270,0.192114338,1270,0.191107273,1270,0.024115812
1268,0.021050779,1268,0.158287883,1268,0.199879333,1268,0.19720076,1268,0.025229972
1266,0.022345915,1266,0.167631552,1266,0.207951114,1266,0.204484865,1266,0.02665988
1264,0.023525221,1264,0.176484838,1264,0.217279866,1264,0.215563625,1264,0.028396962
1262,0.024447294,1262,0.183766022,1262,0.227783889,1262,0.221935079,1262,0.029542632
1260,0.023938898,1260,0.182154849,1260,0.231180489,1260,0.224401787,1260,0.029306125
1258,0.021803623,1258,0.175309598,1258,0.225361913,1258,0.211537614,1258,0.027298409
1256,0.020990459,1256,0.168701887,1256,0.215788245,1256,0.203064367,1256,0.02565472
1254,0.019385664,1254,0.158776969,1254,0.199841112,1254,0.189556673,1254,0.023916235
1252,0.017688051,1252,0.147402495,1252,0.18804051,1252,0.176534176,1252,0.022509307
1250,0.016914278,1250,0.138983414,1250,0.181173101,1250,0.171316981,1250,0.022041826
1248,0.01658137,1248,0.136212647,1248,0.176577687,1248,0.164830014,1248,0.020945255
1246,0.01592922,1246,0.127648383,1246,0.169385239,1246,0.16038835,1246,0.020274116
1244,0.015283662,1244,0.124236748,1244,0.165482804,1244,0.154789835,1244,0.019290244
1242,0.015199145,1242,0.123044714,1242,0.164967403,1242,0.153928101,1242,0.019774107
1240,0.01442751,1240,0.122350857,1240,0.167554408,1240,0.151716232,1240,0.019211374
1238,0.014456305,1238,0.120962545,1238,0.166964591,1238,0.149270222,1238,0.019371076
1236,0.01449128,1236,0.120979264,1236,0.168845102,1236,0.149909854,1236,0.019282732
1234,0.014636393,1234,0.119302109,1234,0.171116814,1234,0.149796814,1234,0.019661497
1232,0.014832939,1232,0.12087062,1232,0.17577526,1232,0.150984317,1232,0.019860839
1230,0.0147218,1230,0.119886212,1230,0.177818909,1230,0.149667546,1230,0.01942249
1228,0.01446286,1228,0.122437753,1228,0.180513516,1228,0.150888771,1228,0.019757448
1226,0.014848866,1226,0.125180274,1226,0.187216699,1226,0.15493013,1226,0.019980296
1224,0.014727473,1224,0.12479201,1224,0.185870856,1224,0.15309757,1224,0.020131299
1222,0.015364462,1222,0.127134979,1222,0.189816937,1222,0.15411599,1222,0.020909838
1220,0.01588871,1220,0.129239783,1220,0.197592244,1220,0.157537565,1220,0.021263985
1218,0.015801905,1218,0.131124794,1218,0.202207044,1218,0.158935457,1218,0.02140283
1216,0.01617793,1216,0.130810812,1216,0.202230766,1216,0.159872293,1216,0.02119668
1214,0.016287675,1214,0.13394995,1214,0.209987864,1214,0.161451429,1214,0.021695005
1212,0.01720209,1212,0.138392523,1212,0.222053528,1212,0.167111576,1212,0.022632034
1210,0.031720523,1210,0.20705089,1210,0.18040587,1210,0.208847642,1210,0.040807281
1208,0.028516041,1208,0.24325408,1208,0.250338584,1208,0.270468503,1208,0.042675171
1206,0.027933219,1206,0.238857061,1206,0.28048715,1206,0.268518955,1206,0.041813772
1204,0.027299976,1204,0.236713812,1204,0.291041583,1204,0.272536099,1204,0.041908044
1202,0.027726743,1202,0.240253627,1202,0.293243051,1202,0.275662988,1202,0.042420864
1200,0.027783094,1200,0.24194029,1200,0.302100927,1200,0.277337193,1200,0.043172773
1198,0.028911259,1198,0.250310689,1198,0.31305027,1198,0.287514269,1198,0.044828169
1196,0.029590618,1196,0.252413869,1196,0.321163684,1196,0.291925192,1196,0.045619261
1194,0.029826226,1194,0.251325756,1194,0.323786885,1194,0.290232122,1194,0.045818578
1192,0.029626628,1192,0.251552522,1192,0.319841921,1192,0.28473106,1192,0.045598101
1190,0.029870138,1190,0.246437892,1190,0.314384252,1190,0.28301689,1190,0.045320813
1188,0.029540235,1188,0.24319303,1188,0.31293112,1188,0.281795025,1188,0.045740984
